This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
"K1F0","ARDMORE DOWN",-97.1225,34.1469,257,"ASOS","K1F0"
"K1H2","EFFINGHAM",-88.5333,39.0706,179,"ASOS","K1H2"
"K1M4","POSEY FIELD",-87.6006,34.2803,283,"ASOS","K1M4"
"K1P1","PLYMOUTH MUN",-71.7536,43.7792,154,"ASOS","K1P1"
"K1V4","ST. JOHNSBUR",-72.0194,44.4194,212,"ASOS","K1V4"
"K20V","MC ELROY AIR",-106.3689,40.0536,2259,"ASOS","K20V"
"K2C2","WHITE SANDS",-106.4833,32.3833,1244,"ASOS","K2C2"
"K2WX","BUFFALO (AMO",-103.5464,45.6044,915,"ASOS","K2WX"
"K3I2","MASON COUNTY",-82.0986,38.9147,196,"ASOS","K3I2"
"K3J7","GREENE COUNT",-83.1389,33.5978,206,"ASOS","K3J7"
"K3LF","LITCHFIELD M",-89.6747,39.1625,210,"ASOS","K3LF"
"K3T5","LA GRANGE/FA",-96.9500,29.9081,99,"ASOS","K3T5"
"K40B","CLAYTON LAKE",-69.5300,46.6200,314,"ASOS","K40B"
"K40J","PERRY-FOLEY",-83.5736,30.0719,13,"ASOS","K40J"
"K4A9","ISBELL FIELD",-85.7214,34.4736,267,"ASOS","K4A9"
"K4O4","MCCURTAIN CO",-94.8594,33.9094,144,"ASOS","K4O4"
"K5L8","LONG BEACH",-118.1667,33.7667,3,"ASOS","K5L8"
"K6R6","DRYDEN",-102.2131,30.0481,707,"ASOS","K6R6"
"K8A0","ALBERTVILLE",-86.2558,34.2292,315,"ASOS","K8A0"
"K8D3","SISSETON MUN",-96.9914,45.6689,354,"ASOS","K8D3"
"K93S","CAPE FLATTER",-124.7333,48.3833,26,"ASOS","K93S"
"K9L2","EDWARDS AIR",-117.8631,34.9908,701,"ASOS","K9L2"
"K9V9","CHAMBERLAIN",-99.3183,43.7667,516,"ASOS","K9V9"
"KAAA","LINCOLN/LOGA",-89.3350,40.1586,182,"ASOS","KAAA"
"KAAF","APALACHICOLA",-85.0247,29.7269,6,"ASOS","KAAF"
"KAAO","COLONEL JAME",-97.2189,37.7497,432,"ASOS","KAAO"
"KAAT","ALTURAS (WAS",-120.5644,41.4914,1333,"ASOS","KAAT"
"KABE","ALLENTOWN-BE",-75.4492,40.6508,120,"ASOS","KABE"
"KABI","ABILENE MUNI",-99.6817,32.4103,545,"ASOS","KABI"
"KABQ","ALBUQUERQUE",-106.6147,35.0417,1631,"ASOS","KABQ"
"KABR","ABERDEEN REG",-98.4131,45.4433,396,"ASOS","KABR"
"KABY","ALBANY MUNIC",-84.1944,31.5356,60,"ASOS","KABY"
"KACB","BELLAIRE",-85.1983,44.9883,190,"ASOS","KACB"
"KACK","NANTUCKET ME",-70.0597,41.2539,14,"ASOS","KACK"
"KACQ","WASECA MUNI",-93.5531,44.0733,343,"ASOS","KACQ"
"KACT","WACO-MADISON",-97.2278,31.6172,157,"ASOS","KACT"
"KACV","ARCATA/EUREK",-124.1086,40.9781,66,"ASOS","KACV"
"KACY","ATLANTIC CIT",-74.5867,39.4647,23,"ASOS","KACY"
"KADC","WADENA_MUNIC",-95.2117,46.4467,418,"ASOS","KADC"
"KADG","LENAWEE COUN",-84.0794,41.8678,244,"ASOS","KADG"
"KADH","ADA_MUNICIPA",-96.6714,34.8044,310,"ASOS","KADH"
"KADM","ARDMORE MUNI",-97.0200,34.3000,232,"ASOS","KADM"
"KADS","DALLAS/ADDIS",-96.8300,32.9700,196,"ASOS","KADS"
"KADU","AUDUBON",-94.9203,41.7011,392,"ASOS","KADU"
"KADW","ANDREWS AFB",-76.8700,38.8200,86,"ASOS","KADW"
"KAEG","ALBUQUERQUE/",-106.7950,35.1450,1779,"ASOS","KAEG"
"KAEL","ALBERT LEA (",-93.3700,43.6800,383,"ASOS","KAEL"
"KAEX","ALEXANDRIA I",-92.5586,31.3347,27,"ASOS","KAEX"
"KAFF","AIR FORCE AC",-104.8200,38.9700,2003,"ASOS","KAFF"
"KAFJ","WASHINGTON (",-80.2800,40.1300,361,"ASOS","KAFJ"
"KAFK","NEBRASKA CIT",-95.8658,40.6069,354,"ASOS","KAFK"
"KAFN","JAFFREY MUNI",-72.0006,42.8058,317,"ASOS","KAFN"
"KAFW","FORT WORTH/A",-97.3181,32.9733,220,"ASOS","KAFW"
