stnid,site_key,layer_key,pedon_key,country_code,state_admindiv_code,county_code,lat,long,hzn_top,hzn_bot,hzn_desgn,hzn_master,txt,sand,silt,clay,oc,c_tot,db_13b,db_od,COLEws,tp,fc,wp,ep,whc,mag,timing,ppt,mintemp,maxtemp,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,cesmppt,koeppen,moistreg,tempreg,mid,resep,rresep,restp,rrestp,resfc,rresfc,reswp,rreswp,reswhc,rreswhc,stnlat,stnlong,X,Y,stnid,lat,long,Sand_clay,Clay_soc,Sand_soc,Sand_clay_soc,OBS,ep,PREDICTED,RESIDUAL,PRED ERROR,RESEPx
18178,17207,107713,17207,US,AL,AL099,31.28694444,-87.61638889,9,15,Ap2,A,l,44.29999924,39.5,16.20000076,1.929999948,NA,1.539999962,1.590000033,0.011,0.418867939,0.289519981,0.119250002,0.129347958,0.170269979,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1540.38,18.53,11.94,25.13,13,23.59,17.45,75,1281.105802,Cfa,UDIC,THERMIC,12,-0.048451857,-27.25079166,-0.056002093,-11.79314111,-0.007550236,-2.541566059,-0.013314486,-10.04378055,0.005764251,3.503981659,31.5411,-87.8833,794388.1619,-659338.0018,18178,31.28694444,-87.61638889,717.6600214,31.26600062,85.49899623,1385.083804,21,0.12935,0.1813,-0.04032,-0.05196,-0.05195
18178,6958,50023,6958,US,AL,AL099,31.49222222,-87.3225,0,20,Ap,A,sl,68,22.5,9.5,1.50999999,NA,1.529999971,1.559999943,0.006,0.42264152,0.120869999,0.076439999,0.301771521,0.04443,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1492.72,18.4,12.19,24.61,13,23.10666667,16.48,98,1335.372614,Cfa,UDIC,THERMIC,10,0.086686628,40.30344804,-0.025877333,-5.769508466,-0.112563961,-48.22090201,-0.015438578,-16.80323986,-0.097125384,-68.61299152,31.5411,-87.8833,820076.2826,-634087.6629,18178,31.49222222,-87.3225,646,14.34499991,102.6799993,975.4599935,22,0.30177,0.21622,0.09375,0.08555,0.08555
18178,7447,52825,7447,US,AL,AL099,31.29333333,-87.68805556,0,22,Ap,A,sl,59.70000076,37.40000153,2.900000095,1.970000029,NA,1.309999943,1.330000043,0.005,0.505660399,0.275099988,0.058520003,0.230560411,0.216579985,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1534.97,18.33,11.1,25.57,12.52,24.80333333,18.85,37,1281.105802,Cfa,UDIC,THERMIC,11,-0.001028434,-0.444077715,0.02926049,6.142001681,0.030288925,12.37236767,-0.003505146,-5.651168272,0.03379407,18.48833399,31.5411,-87.8833,787552.6959,-659226.3302,18178,31.29333333,-87.68805556,173.1300079,5.713000271,117.6090032,341.0661205,23,0.23056,0.23322,0.01065,-0.00266,-0.00266
18323,8444,58294,8444,US,AL,AL109,31.81277778,-85.76805556,0,30,Ap,A,scl,63.59999847,16.39999962,20,0.50999999,NA,1.74000001,1.75999999,0.004,0.343396223,0.184440008,0.130240001,0.158956215,0.054200007,13.64545306,0.256668734,1248.838885,12.34749028,24.71577416,0.360655738,32.75409836,1377.38,18.32,11.9,24.75,12.42,24.22,17.5,126,1406.541244,Cfa,UDIC,THERMIC,15,-0.006938993,-4.182756814,-0.068926829,-16.71670518,-0.061987836,-25.15455841,-0.007449601,-5.410431324,-0.054538234,-50.15552381,31.8075,-85.9722,962620.3966,-583989.7962,18323,31.81277778,-85.76805556,1271.999969,10.1999998,32.43599858,648.7199717,24,0.15896,0.15919,0.01725,-0.00023,-0.00023
18323,8834,60909,8834,US,AL,AL067,31.325,-85.21027778,0,10,Ap,A,sl,70.80000305,20.20000076,9,0.810000002,NA,1.620000005,1.649999976,0.006,0.388679243,0.162000001,0.131999998,0.226679243,0.030000002,13.64545306,0.256668734,1248.838885,12.34749028,24.71577416,0.360655738,32.75409836,1371.07,19.17,12.89,25.45,13.15,24.79333333,18.27,66,1362.222268,Cfa,UDIC,THERMIC,5,0.01758831,8.4117993,-0.024176042,-5.8558151,-0.041764352,-20.4963976,0.054768035,70.91369093,-0.096532387,-76.29065371,31.8075,-85.9722,1021028.569,-632141.398,18323,31.325,-85.21027778,637.2000275,7.290000018,57.34800261,516.1320235,25,0.22668,0.20964,0.00065,0.01704,0.01704
18323,8833,60903,8833,US,AL,AL067,31.31805556,-85.18111111,0,15,Ap,A,sl,76.80000305,12,11.19999981,1.659999967,1.789999962,1.570000052,1.590000033,0.004,0.40754715,0.139729999,0.095400002,0.267817152,0.044329997,13.64545306,0.256668734,1248.838885,12.34749028,24.71577416,0.360655738,32.75409836,1382.01,19.22,12.95,25.48,13.26,24.83333333,18.22,63,1362.222268,Cfa,UDIC,THERMIC,7.5,0.045764722,20.60987231,-0.044324383,-9.809067356,-0.090089105,-39.20000718,-0.009814642,-9.328209224,-0.080274463,-64.42342693,31.8075,-85.9722,1023864.47,-632595.3754,18323,31.31805556,-85.18111111,860.1600196,18.59199932,127.4880025,1427.865604,26,0.26782,0.22266,0.02842,0.04516,0.04516
18438,8469,58458,8469,US,AL,AL087,32.45527778,-85.66111111,0,26,Ap,A,sl,67.90000153,24.70000076,7.400000095,0.819999993,NA,1.460000038,1.470000029,0.002,0.449056589,0.178120002,0.061739998,0.270936588,0.116380003,15.06182041,0.231326805,1342.677311,10.91744231,24.25869926,0.803278689,51.44262295,1325.4,17.75,11.22,24.28,11.66,25.65666667,17.55,85,1406.541244,Cfa,UDIC,THERMIC,13,0.060593603,28.80704744,0.035078875,8.473614368,-0.025514728,-12.52965454,-0.00591197,-8.738799286,-0.019602758,-14.41562019,32.0142,-85.7464,964867.7238,-511721.4526,18438,32.45527778,-85.66111111,502.4600178,6.068000026,55.67800078,412.0172111,27,0.27094,0.2119,0.08047,0.05904,0.05904
18438,8471,58475,8471,US,AL,AL101,32.40444444,-86.04666667,0,22,Ap,A,l,40.40000153,44.79999924,14.80000019,1.129999995,NA,1.429999948,1.450000048,0.005,0.460377378,0.308879994,0.095700002,0.151497384,0.213179992,15.06182041,0.231326805,1342.677311,10.91744231,24.25869926,0.803278689,51.44262295,1309.71,18.28,11.97,24.59,12.16,25.76666667,17.84,65,1406.541244,Cfa,UDIC,THERMIC,11,-0.013730688,-8.310142413,0.014679448,3.293586746,0.028410136,10.12947924,-0.017565078,-15.50793769,0.045975214,27.49635177,32.0142,-85.7464,929612.8664,-521200.1552,18438,32.40444444,-86.04666667,597.9200303,16.72400014,45.65200153,675.6496313,28,0.1515,0.16648,0.01391,-0.01498,-0.01498
18469,15559,98324,15559,US,GA,GA313,34.85111111,-84.92472222,0,23,Ap,A,sicl,6.5,66.5,27,1.470000029,NA,1.460000038,1.559999943,0.022,0.449056589,0.37960001,0.18251999,0.06945658,0.19708002,13.23076439,0.276641705,1415.500361,7.293093666,21.22523528,4.918032787,97.36065574,1341.2,15.48,9.31,21.64,9.92,22.88333333,14.61,237,1500.561183,Cfa,UDIC,THERMIC,11.5,-0.059845208,-46.28335713,-0.033022298,-6.849978047,0.02682291,7.603359253,-0.004686351,-2.503307902,0.031509261,19.03069222,34.5667,-85.6128,1002171.886,-238179.4,18469,34.85111111,-84.92472222,175.5,39.69000078,9.555000189,257.9850051,29,0.069457,0.13336,-0.04945,-0.0639,-0.063903
18469,15560,98331,15560,US,GA,GA313,34.85444444,-84.83888889,0,18,Ap,A,sil,32.09999847,52.59999847,15.30000019,1.139999986,NA,1.440000057,1.49000001,0.011,0.456603752,0.324000013,0.113239999,0.132603739,0.210760013,13.23076439,0.276641705,1415.500361,7.293093666,21.22523528,4.918032787,97.36065574,1371.6,15.54,9.25,21.83,9.97,23.17333333,14.81,228,1500.561183,Cfa,UDIC,THERMIC,9,-0.023613267,-15.1156826,0.005995326,1.330495852,0.029608593,10.05755985,-0.002334927,-2.020270934,0.03194352,17.86385541,34.5667,-85.6128,1009859.414,-236900.4271,18469,34.85444444,-84.83888889,491.1299827,17.442,36.59399781,559.8881734,30,0.1326,0.15815,-0.00771,-0.02555,-0.02555
