STNID	LATITUDE	LONGITUDE	MIN_YEAR	MAX_YEAR	REGIME	CLASS	POISSON	EXPONENTIAL
80211	29.73	-85.02	1931	2011	AQUIC	1	0.270177884	0.071453976
80228	27.22	-81.87	1900	2011	AQUIC	1	0.264664939	0.079672207
80478	27.9	-81.84	1900	2011	UDIC	5	0.300331221	0.083092048
82850	25.85	-81.39	1924	2011	AQUIC	1	0.264571114	0.078665679
82915	29.76	-81.54	1900	2011	AQUIC	1	0.317708333	0.093670046
83163	26.1	-80.2	1912	2011	AQUIC	1	0.343387097	0.083083333
83186	26.59	-81.86	1902	2011	AQUIC	1	0.290347019	0.081508042
83207	27.46	-80.35	1901	2011	AQUIC	1	0.33076625	0.093659585
84289	28.8	-82.31	1900	2011	UDIC	5	0.227390553	0.078349979
84570	24.56	-81.75	1948	2011	AQUIC	1	0.270119288	0.106931407
84731	30.19	-82.59	1900	2011	AQUIC	1	0.300499232	0.085185841
85275	30.45	-83.41	1903	2011	UDIC	5	0.288078327	0.085680729
86414	29.08	-82.08	1900	2011	UDIC	5	0.302419355	0.085497588
86997	30.48	-87.19	1948	2011	UDIC	5	0.292632728	0.068725405
87851	28.34	-82.26	1900	2011	UDIC	5	0.30546755	0.081519918
88758	30.39	-84.35	1948	2011	UDIC	5	0.304981519	0.072686764
88824	28.16	-82.76	1900	2011	UDIC	5	0.273761521	0.078395536
88942	28.62	-80.82	1901	2011	AQUIC	1	0.281289354	0.080224888
90140	31.53	-84.15	1900	2011	UDIC	5	0.287442396	0.083387905
90586	30.82	-84.62	1977	2011	UDIC	5	0.237480799	0.074337148
91340	31.17	-81.5	1906	2011	AQUIC	1	0.257227632	0.079557934
91500	31.19	-84.2	1938	2011	UDIC	5	0.239828538	0.069451795
92318	33.6	-83.84	1900	2011	UDIC	5	0.246111751	0.080178109
92966	32.2	-83.21	1901	2011	UDIC	5	0.247336046	0.078153376
93621	34.3	-83.86	1900	2011	UDIC	5	0.292722734	0.080878163
93754	31.99	-81.95	1904	2011	UDIC	5	0.27635902	0.089323135
94170	33.28	-83.47	1900	2011	UDIC	5	0.247167819	0.080161867
95874	33.08	-83.25	1901	2011	UDIC	5	0.274435726	0.087765126
96335	33.45	-84.82	1900	2011	UDIC	5	0.281105991	0.082521697
97847	32.13	-81.21	1948	2011	AQUIC	1	0.295614919	0.088641053
98535	32.69	-84.52	1900	2011	UDIC	5	0.222422235	0.065753622
98703	31.45	-83.48	1911	2011	UDIC	5	0.247923986	0.085345327
98740	34.58	-83.33	1900	2011	UDIC	5	0.307723694	0.078130882
99141	33.4	-82.62	1914	2011	UDIC	5	0.242621242	0.075387808
99186	31.25	-82.31	1900	2011	AQUIC	1	0.280577957	0.086751581
99291	32.87	-85.19	1900	2011	UDIC	5	0.267161098	0.077457389
100010	42.95	-112.83	1914	2011	XERIC ARIDIC	9	0.180573842	0.303421132
100470	44.04	-111.27	1900	2011	XERIC	8	0.228014593	0.192758834
100803	42.34	-111.39	1992	2011	XERIC	8	0.306854839	0.261779204
101408	44.57	-116.68	1900	2011	XERIC	8	0.20655722	0.159880567
101956	47.68	-116.8	1900	2011	XERIC	8	0.249663978	0.185797564
102845	46.5	-116.32	1966	2011	XERIC	8	0.349403927	0.217584416
103143	46.09	-115.54	1939	2011	UDIC	5	0.38352482	0.154030273
103631	42.94	-115.32	1905	2011	XERIC ARIDIC	9	0.136870666	0.253214871
103732	42.59	-111.73	1907	2011	XERIC	8	0.253328213	0.259044678
104140	42.6	-114.14	1917	2011	XERIC ARIDIC	9	0.178636106	0.255419192
104295	42.35	-114.57	1912	2011	XERIC ARIDIC	9	0.160430108	0.259161093
104670	42.73	-114.52	1915	2011	XERIC ARIDIC	9	0.188809445	0.2887871
104831	47.53	-116.13	1905	2011	UDIC	5	0.375213546	0.182256454
104845	43.68	-114.36	1973	2011	XERIC	8	0.226357872	0.18620217
105241	46.37	-117.02	1948	2011	XERIC	8	0.277679772	0.321677366
105275	42.12	-111.31	1919	2011	XERIC	8	0.231153891	0.329312511
105462	43.92	-113.63	1908	2011	XERIC	8	0.16508995	0.26544568
105559	42.15	-112.29	1948	2011	XERIC	8	0.212911626	0.251179239
105685	44.57	-113.9	1934	2011	XERIC ARIDIC	9	0.132685415	0.299407019
106152	46.72	-116.96	1900	2011	XERIC	8	0.323348694	0.200091182
106305	43.6	-116.58	1976	2011	XERIC ARIDIC	9	0.220131422	0.305557582
106388	44.96	-116.29	1905	2011	UDIC	5	0.25437142	0.172441231
106542	42.23	-113.9	1900	2011	XERIC ARIDIC	9	0.181547619	0.243527588
106891	44.08	-116.93	1900	2011	XERIC ARIDIC	9	0.181331605	0.264596572
107264	49	-116.5	1900	2011	XERIC	8	0.294426843	0.223614085
107386	48.35	-116.84	1900	2011	UDIC	5	0.344038018	0.171546819
108080	45.19	-113.9	1967	2011	XERIC	8	0.235304659	0.362876124
108137	48.29	-116.56	1910	2011	XERIC	8	0.322527936	0.154916185
110072	41.2	-90.75	1901	2011	UDIC	5	0.256199748	0.107568077
110187	37.48	-89.23	1900	2011	UDIC	5	0.266657066	0.082179105
110338	41.78	-88.31	1900	2011	UDIC	5	0.283602151	0.119458287
111280	39.29	-89.87	1900	2011	UDIC	5	0.273809524	0.110127174
111436	39.48	-88.17	1900	2011	UDIC	5	0.279281874	0.105988834
112140	40.14	-87.65	1900	2011	UDIC	5	0.273065476	0.110332462
112193	39.83	-88.95	1900	2011	UDIC	5	0.291186636	0.111272119
112483	37.99	-89.19	1900	2011	AQUIC	1	0.253984255	0.089813088
113335	41.17	-90.04	1900	2011	UDIC	5	0.272753456	0.114003056
113879	37.74	-88.52	1900	2011	AQUIC	1	0.253624232	0.086525936
114108	39.15	-89.48	1900	2011	AQUIC	1	0.257512481	0.096158801
114198	40.47	-87.66	1902	2011	UDIC	5	0.289516129	0.113717609
114442	39.73	-90.2	1900	2011	UDIC	5	0.275393625	0.109486172
114823	40.58	-90.97	1900	2011	UDIC	5	0.24608775	0.097124115
115079	40.15	-89.34	1906	2011	UDIC	5	0.282765267	0.113968922
115326	42.29	-88.65	1900	2011	UDIC	5	0.253504224	0.114999522
115515	38.08	-88.54	1900	2002	AQUIC	1	0.276098758	0.096876447
115712	40.91	-89.03	1900	2011	UDIC	5	0.271649386	0.118670034
115768	40.92	-90.64	1900	2011	UDIC	5	0.274073541	0.111124634
115833	41.8	-89.97	1900	2011	UDIC	5	0.275945661	0.114655996
115901	42.1	-89.98	1900	2011	UDIC	5	0.285546275	0.117211617
115943	38.35	-88.85	1900	2011	AQUIC	1	0.272321429	0.095995073
116446	38.7	-88.08	1900	2011	AQUIC	1	0.278801843	0.097746333
116526	41.33	-88.91	1900	2011	UDIC	5	0.279041859	0.121797583
116558	39	-87.62	1900	2011	UDIC	5	0.283026114	0.099933479
116579	39.37	-89.02	1900	2011	UDIC	5	0.289242512	0.110855377
116610	39.64	-87.69	1900	2011	UDIC	5	0.269033218	0.099897728
116738	39.81	-90.82	1992	2011	UDIC	5	0.292473118	0.113850773
116910	40.89	-88.64	1903	2011	UDIC	5	0.285168196	0.121728726
117551	40.12	-90.56	1900	2011	UDIC	5	0.226622504	0.093230242
118147	38.12	-89.72	1900	2011	UDIC	5	0.268169163	0.09867513
118740	40.08	-88.24	1902	2011	UDIC	5	0.306060606	0.118429004
118916	41.55	-89.6	1900	2011	UDIC	5	0.239919355	0.102292107
119241	39.44	-90.38	1902	2011	UDIC	5	0.263709677	0.107312732
119354	39.44	-88.6	1904	2011	UDIC	5	0.276757268	0.103336931
120177	40.11	-85.72	1900	2011	AQUIC	1	0.292434716	0.11081401
120200	41.64	-84.99	1900	2011	UDIC	5	0.274673579	0.129242185
120676	40.67	-84.93	1910	2011	AQUIC	1	0.327719798	0.128130707
120784	39.17	-86.52	1900	2011	UDIC	5	0.298363095	0.098647592
121030	39.42	-85.01	1925	2011	UDIC	5	0.309757756	0.114784408
121229	39.87	-85.18	1900	2001	UDIC	5	0.333227915	0.120258705
121425	38.48	-85.7	1962	2001	UDIC	5	0.216196237	0.085142377
121747	39.2	-85.92	1900	2011	UDIC	5	0.309187788	0.108912998
121873	40	-86.8	1982	2011	UDIC	5	0.306989247	0.110071723
122149	40.62	-86.67	1900	2011	UDIC	5	0.275009601	0.108743648
123418	41.56	-85.88	1914	2011	UDIC	5	0.331906956	0.139066528
123513	39.64	-86.88	1900	2011	UDIC	5	0.27421755	0.101379625
123527	39.79	-85.76	1903	2011	AQUIC	1	0.303541482	0.109581191
124008	41.54	-87.29	1919	2000	UDIC	5	0.291338841	0.121646005
124837	41.61	-86.73	1900	2011	UDIC	5	0.211597542	0.126582013
125237	38.74	-85.39	1900	2011	UDIC	5	0.300355223	0.100695142
125337	40.58	-85.66	1900	2011	AQUIC	1	0.316532258	0.120452707
126001	37.93	-87.9	1900	2011	UDIC	5	0.274601575	0.093233043
126580	38.89	-86.55	1900	2011	UDIC	5	0.271049347	0.10054985
126705	38.56	-86.49	1900	2011	UDIC	5	0.290706605	0.095682386
127125	38.36	-87.59	1900	2011	UDIC	5	0.260656682	0.086404543
127298	40.94	-87.16	1970	2011	UDIC	5	0.305363543	0.118274844
127482	41.07	-86.21	1904	2011	UDIC	5	0.271953405	0.116129467
127522	39.76	-87.23	1900	2011	UDIC	5	0.274025538	0.096338234
127646	39.6	-85.45	1901	2011	UDIC	5	0.316913688	0.111730676
127755	38.61	-86.09	1900	2011	UDIC	5	0.284610215	0.101126261
127875	38.69	-85.79	1900	2010	UDIC	5	0.267146178	0.092611675
127935	38.98	-85.98	1900	2011	UDIC	5	0.277265745	0.094393926
129080	38.74	-85.08	1900	2006	UDIC	5	0.185584363	0.100548948
129113	38.74	-87.49	1982	2011	UDIC	5	0.286021505	0.091441735
129253	38.65	-87.2	1900	2011	UDIC	5	0.273833525	0.093121847
129511	41.19	-87.06	1916	2004	UDIC	5	0.268938021	0.114361506
129557	40	-86.35	1901	2011	AQUIC	1	0.311246731	0.113633337
129670	41.03	-86.59	1900	2011	UDIC	5	0.258568548	0.114610019
130112	41.07	-92.79	1900	2011	UDIC	5	0.260296659	0.110696481
130133	43.07	-94.31	1900	2011	UDIC	5	0.229814708	0.113307876
130600	41.88	-92.28	1900	2011	UDIC	5	0.289818548	0.121278544
131402	43.08	-92.67	1900	2011	UDIC	5	0.170578917	0.124224449
131533	40.72	-95.02	1900	2011	UDIC	5	0.244887673	0.105706992
131635	41.79	-90.26	1900	2011	UDIC	5	0.283962174	0.119377264
132724	43.43	-94.82	1900	2011	UDIC	5	0.222278226	0.116977596
132789	41.02	-91.96	1900	2011	UDIC	5	0.252544163	0.109610476
132864	42.85	-91.82	1900	2011	UDIC	5	0.269801267	0.116103904
132977	43.28	-93.63	1900	2011	UDIC	5	0.221030146	0.108645924
132999	42.58	-94.2	1900	2011	UDIC	5	0.254560292	0.117959867
134063	41.37	-93.65	1900	2011	UDIC	5	0.249303955	0.110709628
134142	42.52	-93.25	1900	2011	UDIC	5	0.244719662	0.109968009
134735	42.78	-96.15	1900	2011	UDIC	5	0.211165515	0.116752153
134894	41.64	-95.79	1900	2011	UDIC	5	0.221654186	0.10813125
135769	40.71	-94.24	1900	2011	UDIC	5	0.207781298	0.092938731
135796	40.95	-91.56	1900	2011	UDIC	5	0.237831221	0.097805339
135952	43.05	-92.31	1900	2011	UDIC	5	0.23406298	0.105279367
137161	42.4	-94.63	1900	2011	AQUIC	1	0.223646313	0.106879618
137979	42.63	-95.17	1900	2011	AQUIC	1	0.180755568	0.113052521
138296	42.04	-92.58	1900	2011	UDIC	5	0.250648041	0.108771107
138688	41.28	-91.71	1900	2011	UDIC	5	0.243111559	0.103576408
140365	37.19	-99.76	1900	2011	TYPIC USTIC	4	0.165202573	0.107401313
141704	37.27	-99.33	1906	2011	TYPIC USTIC	4	0.155787178	0.09567813
141740	37.18	-94.84	1900	2011	UDIC	5	0.258832565	0.093217785
141867	38.68	-96.51	1964	2011	UDIC USTIC	6	0.227262545	0.101475978
142401	37.82	-96.84	1903	2011	UDIC USTIC	6	0.218333827	0.095068587
142459	38.73	-98.23	1904	2011	TYPIC USTIC	4	0.186927519	0.103834694
142835	37.84	-94.71	1900	2011	UDIC	5	0.242007488	0.087511437
143527	38.86	-99.34	1900	2011	TYPIC USTIC	4	0.188556068	0.121891094
143810	39.67	-95.52	1900	2011	UDIC	5	0.225710445	0.09450274
143954	37.24	-95.7	1900	2011	UDIC	5	0.247383833	0.091977325
144464	37.94	-101.25	1900	2011	ARIDIC USTIC	2	0.13328053	0.117957293
144559	38.96	-95.25	1900	2011	UDIC	5	0.239007296	0.099759345
144588	39.33	-94.92	1901	2011	UDIC	5	0.213116342	0.089827063
144695	37.02	-100.93	1907	2011	ARIDIC USTIC	2	0.157168459	0.120299695
144972	39.2	-96.58	1900	2011	UDIC USTIC	6	0.238983295	0.104938116
145152	38.38	-97.61	1900	2011	UDIC USTIC	6	0.213301651	0.104648841
145363	39.12	-97.7	1900	2011	TYPIC USTIC	4	0.195852535	0.105625809
145856	39.74	-99.84	1903	2011	TYPIC USTIC	4	0.175520371	0.119860568
146128	38.61	-95.28	1900	2011	UDIC	5	0.248319892	0.096238301
147093	39.77	-101.81	1908	2011	ARIDIC USTIC	2	0.192979735	0.152343961
147271	38.48	-100.92	1900	2011	ARIDIC USTIC	2	0.167362711	0.128774936
147305	37.13	-96.19	1900	2011	UDIC	5	0.225878456	0.086200619
148495	39.03	-99.88	1904	2011	TYPIC USTIC	4	0.191731382	0.125413631
150619	37.57	-84.29	1901	2011	UDIC	5	0.315170009	0.10375359
150909	36.96	-86.42	1900	2011	UDIC	5	0.29985119	0.090802423
152791	38.12	-83.55	1904	2011	UDIC	5	0.330246914	0.106489783
153430	37.26	-85.5	1900	2011	UDIC	5	0.317084293	0.092663784
153762	37.76	-87.65	1900	2011	UDIC	5	0.226478495	0.092932563
153994	36.85	-87.52	1900	2011	UDIC	5	0.288066436	0.08721197
154703	37.51	-86.29	1900	2011	UDIC	5	0.289722542	0.090266547
160098	31.32	-92.46	1900	2011	AQUIC	1	0.25391225	0.065450784
160205	30.71	-90.53	1900	2011	UDIC	5	0.267905146	0.062918802
160537	32.77	-92.01	1900	2011	AQUIC	1	0.182099654	0.071091476
160549	30.54	-91.15	1930	2011	AQUIC	1	0.301042486	0.076263323
161287	30.96	-92.18	1956	2011	AQUIC	1	0.247887865	0.061011955
161411	32.51	-92.35	1900	2011	UDIC	5	0.248151882	0.070356937
162534	30.07	-91.03	1900	2011	AQUIC	1	0.265216974	0.065158721
163313	29.82	-91.54	1900	2011	AQUIC	1	0.291282642	0.068946524
163800	30.42	-92.04	1900	2011	UDIC	5	0.264304916	0.06824756
164407	29.59	-90.73	1900	2011	AQUIC	1	0.272273425	0.067929933
164700	30.2	-92.66	1900	2011	AQUIC	1	0.273089478	0.068070478
165026	30.21	-91.99	1900	2011	UDIC	5	0.299971198	0.074999313
166664	29.92	-90.13	1900	2011	AQUIC	1	0.295698925	0.072300377
168163	31.95	-91.23	1905	2011	AQUIC	1	0.254446789	0.073170044
169806	32.1	-91.7	1926	2011	AQUIC	1	0.248780945	0.068701262
170100	44.37	-68.26	1982	2011	UDIC	5	0.352508961	0.095099495
170814	45.66	-69.81	1929	2011	UDIC	5	0.411160772	0.151467893
171628	44.92	-69.24	1947	2011	UDIC	5	0.329404467	0.115207697
172426	44.91	-66.99	1900	2011	UDIC	5	0.356974846	0.134641348
172765	44.69	-70.16	1900	2011	UDIC	5	0.351358487	0.115441109
173046	44.22	-69.79	1900	2011	UDIC	5	0.333933372	0.114000151
173944	46.21	-67.84	1985	2011	UDIC	5	0.383313421	0.137247533
176905	43.65	-70.3	1940	2011	UDIC	5	0.34348865	0.114561567
176937	46.65	-68.01	1909	2011	UDIC	5	0.33633469	0.144586358
179891	45.16	-67.4	1917	2011	UDIC	5	0.303565365	0.105644694
180700	39.03	-76.93	1941	2011	UDIC	5	0.281160079	0.103903349
181750	39.22	-76.05	1900	2011	UDIC	5	0.23046275	0.097553998
182282	39.64	-78.76	1974	2011	UDIC	5	0.327249576	0.130830113
185111	39.08	-76.9	1900	2011	UDIC	5	0.266897081	0.095238103
186620	39.41	-79.4	1903	2011	UDIC	5	0.433091644	0.135873083
187330	38.21	-75.68	1900	2011	AQUIC	1	0.235911098	0.087472254
187806	38.71	-76.19	1948	2011	AQUIC	1	0.296875	0.096500779
188000	38.37	-75.59	1906	2011	AQUIC	1	0.298311016	0.099820073
189440	39.55	-76.97	1979	2011	UDIC	5	0.197947214	0.100382237
190120	42.39	-72.54	1900	2011	UDIC	5	0.324020737	0.110214243
190736	42.21	-71.11	1900	2011	UDIC	5	0.362039171	0.108803312
194105	42.7	-71.17	1900	2011	UDIC	5	0.276665707	0.102285644
196783	42.52	-71.13	1960	2011	UDIC	5	0.359491315	0.10873069
198757	42.16	-71.25	1972	2011	UDIC	5	0.330376344	0.10199212
200032	41.92	-84.02	1900	2011	UDIC	5	0.29593894	0.132001553
200146	43.39	-84.65	1900	2011	AQUIC	1	0.305227535	0.144645253
200230	42.29	-83.71	1900	2011	UDIC	5	0.351862519	0.159665533
200779	43.71	-85.48	1900	2011	UDIC	5	0.343293971	0.152662321
201486	46.34	-86.92	1987	2011	AQUIC	1	0.435913978	0.200560818
201492	45.65	-84.47	1900	2011	UDIC	5	0.314852151	0.167312982
201675	41.96	-84.99	1900	2011	UDIC	5	0.324788786	0.138886808
202423	44.28	-83.5	1900	2011	UDIC	5	0.277697773	0.144615647
203632	43.67	-86.42	1900	2011	UDIC	5	0.293322773	0.137643283
203823	41.94	-84.64	1900	2011	UDIC	5	0.336477535	0.139627444
204090	45.79	-88.08	1900	2011	UDIC	5	0.296226959	0.152141673
204104	46.47	-90.19	1901	2011	UDIC	5	0.370023249	0.159228188
205434	43.61	-84.2	1970	2011	AQUIC	1	0.329045059	0.161430511
205650	42.61	-82.82	1900	2011	AQUIC	1	0.272417435	0.158340235
205662	43.59	-84.77	1900	2011	UDIC	5	0.233582949	0.134542316
205690	46.41	-86.66	1911	2011	UDIC	5	0.404050889	0.179774699
206300	43.02	-84.18	1900	2011	AQUIC	1	0.281754032	0.144215308
207690	42.4	-86.28	1900	2011	UDIC	5	0.288738479	0.132010148
207812	46.06	-88.63	1922	2011	UDIC	5	0.344205496	0.173207905
210018	47.3	-96.52	1900	2011	AQUIC	1	0.177059332	0.135549169
210075	43.61	-93.3	1900	2011	UDIC	5	0.229406682	0.109880574
210252	48.33	-96.83	1948	2011	AQUIC	1	0.20249496	0.153523914
211630	46.7	-92.53	1900	2011	UDIC	5	0.28000192	0.154466198
212142	46.84	-95.84	1900	2011	UDIC	5	0.22203821	0.135097201
212645	47.46	-92.53	1986	2011	AQUIC	1	0.327440033	0.184737735
212698	43.64	-94.47	1900	2011	UDIC	5	0.260272657	0.127083801
213290	43.7	-92.56	1900	2011	UDIC	5	0.264616935	0.11838857
213303	47.24	-93.5	1915	2011	UDIC	5	0.316151203	0.176669941
214106	47.23	-95.19	1911	2011	UDIC	5	0.26530395	0.151593593
214652	47.25	-94.22	1900	2011	UDIC	5	0.273689516	0.16107097
215400	45.12	-95.93	1900	2011	UDIC	5	0.229574693	0.137477202
215435	44.88	-93.23	1938	2011	UDIC	5	0.307577739	0.161559859
