X,Y,stnid,lat,long,maxtemp,mintemp,ppt,magnitude,timing,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,wizardppt,cesmppt,resep,resepx,resepxpptout,resepxprismjjavpdout,resepxmagnitudeout,resepxmintempfreezedaysout
-1998745.842,1401680.062,"46,175",33.6025,-117.8803,19.7032746,12.94787087,267.1205574,7.536237319,0.096833274,0,0.131147541,271.05,16.89,13.18,20.6,10.6,17.45666667,11.65,119,324.014592,379.352725,-0.023949906,-0.023668571,FALSE,FALSE,FALSE,FALSE
-2096563.193,1522534.066,"46,399",34.4478,-119.2275,25.457755,7.675706076,531.8968197,14.27032822,0.099035273,0,24.55737705,606.63,16.39,9.33,23.45,6.06,24.16,19.01,521,446.135252,473.224924,0.024966548,0.024361111,FALSE,FALSE,FALSE,FALSE
-2196862.767,2163252.916,"46,506",39.7458,-122.1997,23.86417933,9.270553543,538.6507213,8.215675683,0.161684917,0.049180328,25.08196721,569.07,16.86,9.69,24.03,7.19,41.34,23.7,67,506.8189,1082.717514,-0.09028049,-0.090868522,FALSE,FALSE,FALSE,FALSE
-2191380.424,1683288.586,"46,730",35.6278,-120.6856,24.79770359,5.436992071,372.7803934,8.187330309,0.121351767,0,62.81967213,417.96,15,5.6,24.4,6.03,38.05,22.55,251,506.475238,529.4843427,-0.001912524,-0.004185556,FALSE,FALSE,FALSE,FALSE
-2276276.79,2012479.092,"46,826",38.2578,-122.6078,21.42582331,7.36050556,623.8947869,9.379446356,0.175084175,0,22.78688525,687.18,14.48,7.58,21.38,7.77,25.87333333,16.08,38,618.01883,731.2493525,-0.003466996,-0.0012525,FALSE,FALSE,FALSE,FALSE
-2088799.681,2155639.409,"47,195",39.9367,-120.9475,20.83358038,1.044900111,897.1113443,13.43736632,0.185363863,0.918032787,133.0327869,1343.43,10.45,3.51,17.4,-0.64,36.06,17.48,"1,306",1405.02386,1419.413428,0.043132349,0.043773333,FALSE,FALSE,FALSE,FALSE
-1925574.058,1436442.391,"47,306",34.0528,-117.1894,26.20026612,10.03886741,319.6027869,7.986571188,0.115135369,0,7.524590164,289.56,18.37,10.76,25.99,6.48,38.31,25.75,486,426.186854,346.2024049,-0.039120397,-0.042714,FALSE,FALSE,FALSE,FALSE
-2198752.837,1647930.873,"47,851",35.3056,-120.6639,21.71966701,8.542553708,554.8400984,11.84196159,0.112345303,0,3.62295082,531.59,15.01,8.05,21.97,7.58,25.24666667,16.49,234,608.171504,441.4517345,-0.020886727,-0.0215853,FALSE,FALSE,FALSE,FALSE
-2137812.784,1529340.962,"47,902",34.4167,-119.6844,21.58471744,10.84309285,420.9571148,12.62729848,0.09375,0,0.803278689,506.68,15.67,11.07,20.27,9.01,9.713333333,13.07,19,NA,473.224924,-0.049625283,-0.0512925,FALSE,FALSE,FALSE,FALSE
-2263215.449,1861135.578,"47,916",36.9906,-121.9911,20.21670862,7.701660753,763.8571148,12.36984511,0.16234639,0,11.45901639,749.54,12.45,9.19,15.72,8.74,4.816666667,6.1,4,551.427142,591.5976187,0.000759755,0.001738333,FALSE,FALSE,FALSE,FALSE
