stnid	lat	lon	mean_tmax[c]	mean_tmin[c]
59243 40.0583 -102.2189 19.8136018910507 2.19563019018952
62658 41.95 -73.3667 15.4425159150017 2.24782938694151
68138 41.795 -72.2283 14.3579454659473 4.35733596841602
72730 39.2583 -75.5167 19.2760884103793 8.22516226440231
80211 29.7258 -85.0206 24.9703918746832 15.6866984552712
80228 27.2181 -81.8739 28.9123693982879 15.7577341333206
80478 27.8986 -81.8433 28.8950012625568 16.7199158943
82850 25.8489 -81.3897 28.7961049548829 18.2822574764296
82915 29.755 -81.5389 26.7922741128271 15.4156612772635
83163 26.1019 -80.2011 28.6470864129055 19.7966051997476
83186 26.585 -81.8614 29.0284656913708 18.2285267362805
83207 27.4622 -80.3539 28.0072100208361 17.6849503946714
84289 28.8031 -82.3125 28.0102703019594 14.9970175227385
84570 24.555 -81.7522 28.1653515635359 22.8163924054352
84731 30.1853 -82.5942 26.5412595001154 13.8774742616138
85275 30.4517 -83.4119 26.6151268378789 13.7788718368953
86414 29.0803 -82.0778 28.218363319143 15.1614267390493
86997 30.4781 -87.1869 25.0201901437289 15.1358280485738
87851 28.3378 -82.26 28.5214253634786 16.4126573175315
88758 30.3931 -84.3533 26.2927154866886 13.2300768679934
88824 28.1586 -82.7644 27.6295130042066 17.071198702231
88942 28.6242 -80.8158 27.6300657732435 16.4419620947951
90140 31.5339 -84.1489 25.6829761912879 11.9562315895083
91340 31.1681 -81.5022 25.8223441454766 14.8246899644222
91500 31.1903 -84.2036 26.047218382048 12.9215460514844
92318 33.5972 -83.8436 22.9678014109917 10.2112482103536
92966 32.2003 -83.2058 25.0238236243708 11.9626670641579
93621 34.3006 -83.86 21.3968908935341 9.61123711056736
93754 31.9881 -81.9522 25.4276998965201 12.7125830918077
94170 33.2842 -83.4681 25.218764148207 11.1625268130161
95874 33.0831 -83.2497 24.2850362247159 9.84276422262678
96335 33.4544 -84.8178 22.9970276210018 9.95611870830387
97847 32.13 -81.21 25.0710730253707 13.2241860490435
98535 32.6875 -84.5197 24.0893982884559 10.1887615309338
98703 31.4461 -83.4767 24.9814185054039 12.6542422123734
98740 34.5786 -83.3319 22.3644015302331 10.034406086331
99141 33.4028 -82.6222 23.6207434031335 10.3191232058853
99186 31.2514 -82.3128 26.6889968951011 11.8772766384617
99291 32.8694 -85.1892 23.8226328801948 10.2601220685238
100010 42.9536 -112.8253 15.0863643665736 -0.959675942152374
100470 44.0425 -111.2739 12.4888380755672 -1.9210254765392
101408 44.5733 -116.6753 16.7543937904602 1.01176302240754
101956 47.6789 -116.8017 15.0785404142735 3.12195070633022
103143 46.0931 -115.5356 16.1079967467809 2.89445977734425
103631 42.9403 -115.3231 20.2442274250925 2.65879281685558
103732 42.5872 -111.7275 14.1285606838489 -1.7252160615736
104140 42.5972 -114.1378 16.5890347645629 1.66493672096813
104295 42.3528 -114.5739 16.6619110280108 2.00293166277293
104670 42.7325 -114.5192 17.4046605612662 2.22089505393877
104831 47.5311 -116.1267 14.9765684446754 2.06897649518585
105241 46.3747 -117.0156 17.3946976115131 5.56766857488318
105275 42.1231 -111.3139 12.4773152574621 -2.00638724745028
105462 43.9181 -113.6317 13.0846933238372 -2.6423551763862
105559 42.1492 -112.2872 16.077159066922 -0.796991916972439
105685 44.5664 -113.8953 14.7873505656553 -2.74990947629902
106152 46.7244 -116.9608 14.8975859388509 2.33438398014677
106388 44.9647 -116.2864 13.8455799719322 -3.55632831908297
106542 42.2342 -113.8981 16.2060252293956 2.22542303608291
