X,Y,stnid,lat,long,maxtemp,mintemp,ppt,magnitude,timing,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,wizardppt,cesmppt,resep,resepx,resepxpptout,resepxprismjjavpdout,resepxmagnitudeout,resepxmintempfreezedaysout
-93460.38875,1539108.492,"346,278",36.8914,-97.0586,20.96252087,8.30916257,867.4391475,12.69548476,0.180923579,12.75409836,88.50819672,978.49,14.84,8.52,21.15,7.84,26.94666667,16.3,349,896.034022,841.935806,0.014545667,0.0112026,FALSE,FALSE,FALSE,FALSE
-206468.0559,1454881.368,"346,629",36.1217,-98.315,23.07242004,8.519684123,716.9628852,11.9145781,0.142818388,8.016393443,89.26229508,788.49,15.52,8.79,22.26,7.87,34.15333333,19.04,365,743.687362,804.0809743,0.025428024,0.02375,FALSE,FALSE,FALSE,FALSE
-27301.91162,1374439.075,"346,638",35.4253,-96.3033,22.63331358,10.41869852,1005.773377,13.57210134,0.196774194,6.606557377,61.7704918,1097.24,16.1,9.86,22.34,9.45,27.21,16.36,260,1047.176214,868.4571958,-0.006933715,-0.010145556,FALSE,FALSE,FALSE,FALSE
-116399.5353,1296854.95,"346,926",34.7253,-97.2814,23.75057153,9.683393426,879.6602951,12.79244538,0.18313172,4.672131148,73.19672131,972.48,16.66,10.25,23.06,9.56,29.35666667,17.93,289,889.76708,892.0830585,-0.000464639,-0.00181,FALSE,FALSE,FALSE,FALSE
-2162260.798,2440643.111,"350,304",42.2128,-122.7144,18.66663607,3.832736866,488.8500656,4.972228043,0.269657258,1.68852459,102.1147541,654.89,10.63,4.13,17.13,1.99,30.11333333,14.95,725,817.738522,1557.939963,-0.004197961,-0.0036225,FALSE,FALSE,FALSE,FALSE
-1995236.513,2607672.769,"350,694",44.0569,-121.285,15.69710558,0.262852255,284.226,4.102106434,0.19112661,12.45901639,182.557377,293.4,8.05,0.53,15.57,0.4,26.45666667,14.09,"1,120",391.090912,1585.703401,-0.003537527,-0.00523,FALSE,FALSE,FALSE,FALSE
-2123428.754,2710855.034,"351,862",44.6342,-123.19,17.13659339,5.43662664,1073.295738,6.910288186,0.392449117,2.37704918,55.01639344,1067.26,11.58,5.88,17.28,6.92,20.88,11.32,68,1135.319802,1412.504354,-0.01794379,-0.023301444,FALSE,FALSE,FALSE,FALSE
-2095634.267,2501126.328,"351,946",42.8967,-122.1328,9.082517121,-2.594773828,1687.122131,12.03022194,0.34368135,69.32786885,239.2295082,1543.75,4.25,-1.65,10.15,-2.52,16.99666667,9.17,"2,026",868.27106,1779.46895,0.045747792,0.04528,FALSE,FALSE,FALSE,FALSE
-2088931.242,2803980.974,"352,997",45.5247,-123.1028,17.58457261,5.526406742,1130.225049,7.556779411,0.392761137,2.540983607,59.75409836,1094.41,11.67,6.19,17.14,6.86,20.13666667,10.91,49,1154.646916,1363.417279,-0.023207741,-0.028606667,FALSE,FALSE,FALSE,FALSE
-2020044.795,2775355.794,"353,770",45.4486,-122.1547,16.15382894,5.968778535,2022.901803,11.30437804,0.48000672,2.344262295,41.29508197,1882.47,10.48,5.36,15.6,5.72,18.02333333,9.96,417,2387.08057,1477.766387,-0.000799528,-0.007761,TRUE,FALSE,FALSE,FALSE
